UserID	Experiment	SessionNum	Trial	DateTime	RT	LenScore	LenAcc	StrictAcc	TrialType	Feedback	Group	Phase
UserID	Experiment	SessionNum	Trial	Date	RT	LenScore	LenAcc	StrictAcc				
Chilly G	exp1	2	1	4/11/17 14:19	81.576	0.763358779	0	0	test	NoFeedback	B	FinalTest
Chilly G	exp1	2	2	4/11/17 14:21	70.896	7.843137255	0	0	test	NoFeedback	B	FinalTest
Chilly G	exp1	2	3	4/11/17 14:21	36.211	1.081081081	0	0	test	NoFeedback	B	FinalTest
Chilly G	exp1	2	4	4/11/17 14:23	95.389	0.595238095	0	0	test	NoFeedback	B	FinalTest
Chilly G	exp2	2	5	4/11/17 14:25	103.263	1.123595506	0	0	test	NoFeedback	B	FinalTest
Chilly G	exp2	2	6	4/11/17 14:25	39.068	1.606425703	0	0	test	NoFeedback	B	FinalTest
Chilly G	exp2	2	7	4/11/17 14:26	45.855	0.81300813	0	0	test	NoFeedback	B	FinalTest
Chilly G	exp2	2	8	4/11/17 14:27	40.568	2.197802198	0	0	test	NoFeedback	B	FinalTest
Ventura	exp1	1	1	4/9/17 14:12	65.254	0	0	0	read	NoFeedback	A	InitialStudy
Ventura	exp2	1	2	4/9/17 14:13	21.2	0	0	0	read	NoFeedback	A	InitialStudy
Ventura	exp1	1	3	4/9/17 14:13	19.185	0	0	0	read	NoFeedback	A	InitialStudy
Ventura	exp2	1	4	4/9/17 14:13	12.757	0	0	0	read	NoFeedback	A	InitialStudy
Ventura	exp1	1	5	4/9/17 14:13	14.36	0	0	0	read	NoFeedback	A	InitialStudy
Ventura	exp2	1	6	4/9/17 14:14	12.634	0	0	0	read	NoFeedback	A	InitialStudy
Ventura	exp1	1	7	4/9/17 14:14	22.075	0	0	0	read	NoFeedback	A	InitialStudy
Ventura	exp2	1	8	4/9/17 14:14	18.359	0	0	0	read	NoFeedback	A	InitialStudy
Ventura	exp1	1	9	4/9/17 14:15	15.964	0	0	0	read	NoFeedback	A	InitialStudy
Ventura	exp2	1	10	4/9/17 14:15	6.598	0	0	0	read	NoFeedback	A	InitialStudy
Ventura	exp1	1	11	4/9/17 14:16	56.968	0	0	0	read	NoFeedback	A	InitialStudy
Ventura	exp2	1	12	4/9/17 14:16	13.237	0	0	0	read	NoFeedback	A	InitialStudy
Ventura	exp1	1	13	4/9/17 14:16	14.6	0	0	0	read	NoFeedback	A	InitialStudy
Ventura	exp2	1	14	4/9/17 14:16	6.585	0	0	0	read	NoFeedback	A	InitialStudy
Ventura	exp1	1	16	4/9/17 14:19	127.549	0.634920635	0	0	test	NoFeedback	B	InitialTest
Ventura	exp2	1	17	4/9/17 14:20	104.174	0.357142857	0	0	test	NoFeedback	B	InitialTest
Ventura	exp1	1	18	4/9/17 14:29	487.776	0.826446281	0	0	test	NoFeedback	B	InitialTest
Ventura	exp2	1	19	4/9/17 14:30	112.096	0.676818951	0	0	test	NoFeedback	B	InitialTest
Ventura	exp1	1	20	4/9/17 14:33	130.425	0.555555556	0	0	test	NoFeedback	B	InitialTest
Ventura	exp2	1	21	4/9/17 14:34	84.439	0.43956044	0	0	test	NoFeedback	B	InitialTest
Ventura	exp1	1	22	4/9/17 14:35	75.273	1.078167116	0	0	test	NoFeedback	B	InitialTest
Ventura	exp2	1	23	4/9/17 14:37	65.474	0.699300699	0	0	test	NoFeedback	B	InitialTest
Ventura	exp1	1	24	4/9/17 14:38	101.846	1.005025126	0	0	test	NoFeedback	B	InitialTest
UserID	Experiment	SessionNum	Trial	Date	RT	LenScore	LenAcc	StrictAcc				
Ventura	exp2	2	1	4/11/17 20:30	138.826	1.408450704	0	0	test	NoFeedback	B	FinalTest
Ventura	exp2	2	2	4/11/17 20:31	28.944	4.87804878	0	0	test	NoFeedback	B	FinalTest
Ventura	exp2	2	3	4/11/17 20:31	20.154	5.882352941	0	0	test	NoFeedback	B	FinalTest
Ventura	exp2	2	4	4/11/17 20:32	60.349	3.174603175	0	0	test	NoFeedback	B	FinalTest
Chevrolet	exp1	1	1	4/9/17 16:32	389.995	0	0	0	read	NoFeedback	A	InitialStudy
Chevrolet	exp2	1	2	4/9/17 16:33	31.435	0	0	0	read	NoFeedback	A	InitialStudy
Chevrolet	exp1	1	3	4/9/17 16:35	143.114	0	0	0	read	NoFeedback	A	InitialStudy
Chevrolet	exp2	1	4	4/9/17 16:35	5.019	0	0	0	read	NoFeedback	A	InitialStudy
Chevrolet	exp1	1	5	4/9/17 16:36	63.942	0	0	0	read	NoFeedback	A	InitialStudy
Chevrolet	exp2	1	6	4/9/17 16:37	14.684	0	0	0	read	NoFeedback	A	InitialStudy
Chevrolet	exp1	1	7	4/9/17 16:37	7.035	0	0	0	read	NoFeedback	A	InitialStudy
Chevrolet	exp2	1	8	4/9/17 16:37	11.48	0	0	0	read	NoFeedback	A	InitialStudy
Chevrolet	exp1	1	9	4/9/17 16:41	267.234	0	0	0	read	NoFeedback	A	InitialStudy
Chevrolet	exp2	1	10	4/9/17 16:41	4.363	0	0	0	read	NoFeedback	A	InitialStudy
Chevrolet	exp1	1	11	4/9/17 16:43	102.099	0	0	0	read	NoFeedback	A	InitialStudy
Chevrolet	exp2	1	12	4/9/17 16:43	7.376	0	0	0	read	NoFeedback	A	InitialStudy
Chevrolet	exp1	1	13	4/9/17 16:44	17.431	0	0	0	read	NoFeedback	A	InitialStudy
Chevrolet	exp2	1	14	4/9/17 16:44	5.709	0	0	0	read	NoFeedback	A	InitialStudy
Chevrolet	exp1	1	16	4/9/17 16:44	37.523	1.03626943	0	0	test	NoFeedback	B	InitialTest
Chevrolet	exp2	1	17	4/9/17 16:45	45.16	1.307189542	0	0	test	NoFeedback	B	InitialTest
Chevrolet	exp1	1	18	4/9/17 16:47	89.004	0.735294118	0	0	test	NoFeedback	B	InitialTest
Chevrolet	exp2	1	19	4/9/17 16:47	17.255	3.846153846	0	0	test	NoFeedback	B	InitialTest
Chevrolet	exp1	1	20	4/9/17 16:47	28.721	4.301075269	0	0	test	NoFeedback	B	InitialTest
Chevrolet	exp2	1	21	4/9/17 16:48	21.748	3.225806452	0	0	test	NoFeedback	B	InitialTest
Chevrolet	exp1	1	22	4/9/17 16:48	44.859	3.125	0	0	test	NoFeedback	B	InitialTest
Chevrolet	exp2	1	23	4/9/17 16:49	15.818	2.272727273	0	0	test	NoFeedback	B	InitialTest
Chevrolet	exp1	1	24	Last Row	32.947	1.19047619	0	0	test	NoFeedback	B	InitialTest
