For:  Sweet Future: Fluctuating Blood Glucose Levels Affect Future Discounting 
Timespan=All years. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Sweet delusion. Glucose drinks fail to counteract ego depletion","Lange, Florian; Eggert, Frank","","","","APPETITE","APR 1 2014","2014","75","","","","","54","63","","10.1016/j.appet.2013.12.020","","","44","7.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","11","12","12","0"
"TOWARDS A GENERAL MODEL OF TEMPORAL DISCOUNTING","van den Bos, Wouter; McClure, Samuel M.","","","","JOURNAL OF THE EXPERIMENTAL ANALYSIS OF BEHAVIOR","JAN 2013","2013","99","1","","","","58","73","","10.1002/jeab.6","","","44","6.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","12","8","8","8","0"
"Strength Model of Self-Regulation as Limited Resource: Assessment, Controversies, Update","Baumeister, R. F.; Vohs, K. D.","","","Olson, JM; Zanna, MP","ADVANCES IN EXPERIMENTAL SOCIAL PSYCHOLOGY, VOL 54","2016","2016","54","","","","","67","127","","10.1016/bs.aesp.2016.04.001","","","41","10.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","21","17","1"
"On Weight and Waiting: Delay Discounting in Anorexia Nervosa Pretreatment and Posttreatment","Decker, Johannes Hugo; Figner, Bernd; Steinglass, Joanna E.","","","","BIOLOGICAL PSYCHIATRY","NOV 1 2015","2015","78","9","","","","606","614","","10.1016/j.biopsych.2014.12.016","","","41","8.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","14","15","9","0"
"Episodic future thinking reduces delay discounting and energy intake in children","Daniel, Tinuke Oluyomi; Said, Michele; Stanton, Christina M.; Epstein, Leonard H.","","","","EATING BEHAVIORS","AUG 2015","2015","18","","","","","20","24","","10.1016/j.eatbeh.2015.03.006","","","41","8.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","10","15","15","0"
"Polymorphic variation in the dopamine D4 receptor predicts delay discounting as a function of childhood socioeconomic status: evidence for differential susceptibility","Sweitzer, Maggie M.; Halder, Indrani; Flory, Janine D.; Craig, Anna E.; Gianaros, Peter J.; Ferrell, Robert E.; Manuck, Stephen B.","","","","SOCIAL COGNITIVE AND AFFECTIVE NEUROSCIENCE","JUN 2013","2013","8","5","","","","499","508","","10.1093/scan/nss020","","","34","4.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","5","9","11","3","0"
"Hunger Games: Fluctuations in Blood Glucose Levels Influence Support for Social Welfare","Aaroe, Lene; Petersen, Michael Bang","","","","PSYCHOLOGICAL SCIENCE","DEC 2013","2013","24","12","","","","2550","2556","","10.1177/0956797613495244","","","29","4.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","5","4","10","1"
"Evolutionary consumption","Saad, Gad","","","","JOURNAL OF CONSUMER PSYCHOLOGY","JUL 2013","2013","23","3","","","","351","371","","10.1016/j.jcps.2013.03.002","","","29","4.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","4","6","7","4","0"
"Training Cognition in ADHD: Current Findings, Borrowed Concepts, and Future Directions","Rutledge, Kyle J.; van den Bos, Wouter; McClure, Samuel M.; Schweitzer, Julie B.","","","","NEUROTHERAPEUTICS","JUL 2012","2012","9","3","","","","542","558","","10.1007/s13311-012-0134-9","","","25","3.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","8","2","3","2","5","0"
"A Randomised Controlled Trial of Neuronavigated Repetitive Transcranial Magnetic Stimulation (rTMS) in Anorexia Nervosa","McClelland, Jessica; Kekic, Maria; Bozhilova, Natali; Nestler, Steffen; Dew, Tracy; Van den Eynde, Frederique; David, Anthony S.; Rubia, Katya; Campbell, Iain C.; Schmidt, Ulrike","","","","PLOS ONE","MAR 23 2016","2016","11","3","","","","","","e0148606","10.1371/journal.pone.0148606","","","22","5.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","9","10","0"
"Imaging Fatigue of Interference Control Reveals the Neural Basis of Executive Resource Depletion","Persson, Jonas; Larsson, Anne; Reuter-Lorenz, Patricia A.","","","","JOURNAL OF COGNITIVE NEUROSCIENCE","MAR 2013","2013","25","3","","","","338","351","","10.1162/jocn_a_00321","","","22","3.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","7","6","1","0"
"A systematic review of temporal discounting in eating disorders and obesity: Behavioural and neuroimaging findings","McClelland, Jessica; Dalton, Bethan; Kekic, Maria; Bartholdy, Savani; Campbell, Iain C.; Schmidt, Ulrike","","","","NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS","DEC 2016","2016","71","","","","","506","528","","10.1016/j.neubiorev.2016.09.024","","","21","5.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","12","2"
"The Behavioral and Neuroeconomics of Reinforcer Pathologies: Implications for Managerial and Health Decision Making","Jarmolowicz, David P.; Reed, Derek D.; Reed, Florence D. DiGennaro; Bickel, Warren K.","","","","MANAGERIAL AND DECISION ECONOMICS","JUN-JUL 2016","2016","37","4-5","","","SI","274","293","","10.1002/mde.2716","","","20","5.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","6","0"
"Unhealthy diets, obesity and time discounting: a systematic literature review and network analysis","Barlow, Pepita; Reeves, Aaron; McKee, Martin; Galea, Gauden; Stuckler, David","","","","OBESITY REVIEWS","SEP 2016","2016","17","9","","","","810","819","","10.1111/obr.12431","","","18","4.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","15","1"
"Recent Research on Free Will: Conceptualizations, Beliefs, and Processes","Baumeister, Roy F.; Monroe, Andrew E.","","","Olson, JM; Zanna, MP","ADVANCES IN EXPERIMENTAL SOCIAL PSYCHOLOGY, VOL 50","2014","2014","50","","","","","1","52","","10.1016/B978-0-12-800284-1.00001-1","","","18","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","8","7","0"
"The neurobiology of intertemporal choice: insight from imaging and lesion studies","Sellitto, Manuela; Ciaramelli, Elisa; di Pellegrino, Giuseppe","","","","REVIEWS IN THE NEUROSCIENCES","OCT 2011","2011","22","5","","","","565","574","","10.1515/RNS.2011.046","","","18","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","1","4","4","3","0"
"The Bitter Truth About Sugar and Willpower: The Limited Evidential Value of the Glucose Model of Ego Depletion","Vadillo, Miguel A.; Gold, Natalie; Osman, Magda","","","","PSYCHOLOGICAL SCIENCE","SEP 2016","2016","27","9","","","","1207","1214","","10.1177/0956797616654911","","","17","4.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","7","0"
"Low Childhood Socioeconomic Status Promotes Eating in the Absence of Energy Need","Hill, Sarah E.; Prokosch, Marjorie L.; DelPriore, Danielle J.; Griskevicius, Vladas; Kramer, Andrew","","","","PSYCHOLOGICAL SCIENCE","MAR 2016","2016","27","3","","","","354","364","","10.1177/0956797615621901","","","17","4.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","7","2"
"A Meta-Analysis of Blood Glucose Effects on Human Decision Making","Orquin, Jacob L.; Kurzban, Robert","","","","PSYCHOLOGICAL BULLETIN","MAY 2016","2016","142","5","","","","546","567","","10.1037/bul0000035","","","14","3.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","6","0"
"Relative reinforcing value of food and delayed reward discounting in obesity and disordered eating: A systematic review","Stojek, Monika M. K.; MacKillop, James","","","","CLINICAL PSYCHOLOGY REVIEW","JUL 2017","2017","55","","","","","1","11","","10.1016/j.cpr.2017.04.007","","","12","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","10","0"
"The effect of non-caloric sweeteners on cognition, choice, and post-consumption satisfaction","Hill, Sarah E.; Prokosch, Marjorie L.; Morin, Amanda; Rodeheffer, Christopher D.","","","","APPETITE","DEC 1 2014","2014","83","","","","","82","88","","10.1016/j.appet.2014.08.003","","","12","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","5","4","0"
"It's Not Just Lunch: Extra-Pair Commensality Can Trigger Sexual Jealousy","Kniffin, Kevin M.; Wansink, Brian","","","","PLOS ONE","JUL 11 2012","2012","7","7","","","","","","e40445","10.1371/journal.pone.0040445","","","12","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","3","3","2","1","0"
