UserID	Experiment	SessionNum	Trial	DateTime	RT	LenScore	LenAcc	StrictAcc	TrialType	Feedback	DurationControl	Group	Phase	Original Order	Condition
Chilly G	KindOfQuestion_1	1	21	4/9/17 19:50	183.994	0.549450549	0	0	test	NoFeedback	UserTiming	B	InitialTest	20	Think
Chilly G	KindOfQuestion_1	1	22	4/9/17 19:51	58.171	0.634920635	0	0	test	NoFeedback	UserTiming	B	InitialTest	21	Think
Chilly G	KindOfQuestion_1	1	23	4/9/17 19:51	59.512	0.724637681	0	0	test	NoFeedback	UserTiming	B	InitialTest	22	Think
Chilly G	KindOfQuestion_1	1	24	4/9/17 19:53	103.89	0.465116279	0	0	test	NoFeedback	UserTiming	B	InitialTest	23	Think
Chilly G	KindOfQuestion_1	2	1	4/11/17 14:19	81.576	0.763358779	0	0	test	NoFeedback	UserTiming	B	FinalTest	25	Think
Chilly G	KindOfQuestion_1	2	2	4/11/17 14:21	70.896	7.843137255	0	0	test	NoFeedback	UserTiming	B	FinalTest	26	Think
Chilly G	KindOfQuestion_1	2	3	4/11/17 14:21	36.211	1.081081081	0	0	test	NoFeedback	UserTiming	B	FinalTest	27	Think
Chilly G	KindOfQuestion_1	2	4	4/11/17 14:23	95.389	0.595238095	0	0	test	NoFeedback	UserTiming	B	FinalTest	28	Think
Chilly G	KindOfQuestion_1	2	5	4/11/17 14:25	103.263	1.123595506	0	0	test	NoFeedback	UserTiming	B	FinalTest	29	Think
Chilly G	KindOfQuestion_1	2	6	4/11/17 14:25	39.068	1.606425703	0	0	test	NoFeedback	UserTiming	B	FinalTest	30	Think
Chilly G	KindOfQuestion_1	2	7	4/11/17 14:26	45.855	0.81300813	0	0	test	NoFeedback	UserTiming	B	FinalTest	31	Think
Chilly G	KindOfQuestion_1	2	8	4/11/17 14:27	40.568	2.197802198	0	0	test	NoFeedback	UserTiming	B	FinalTest	32	Think
Ventura	KindOfQuestion_1	1	1	4/9/17 14:12	65.254	0	0	0	read	NoFeedback	UserTiming	A	InitialStudy	33	Think
Ventura	KindOfQuestion_1	1	2	4/9/17 14:13	21.2	0	0	0	read	NoFeedback	UserTiming	A	InitialStudy	34	Think
Ventura	KindOfQuestion_1	1	3	4/9/17 14:13	19.185	0	0	0	read	NoFeedback	UserTiming	A	InitialStudy	35	Think
Ventura	KindOfQuestion_1	1	4	4/9/17 14:13	12.757	0	0	0	read	NoFeedback	UserTiming	A	InitialStudy	36	Think
Ventura	KindOfQuestion_1	1	5	4/9/17 14:13	14.36	0	0	0	read	NoFeedback	UserTiming	A	InitialStudy	37	Think
Ventura	KindOfQuestion_1	1	6	4/9/17 14:14	12.634	0	0	0	read	NoFeedback	UserTiming	A	InitialStudy	38	Think
Ventura	KindOfQuestion_1	1	7	4/9/17 14:14	22.075	0	0	0	read	NoFeedback	UserTiming	A	InitialStudy	39	Think
Ventura	KindOfQuestion_1	1	8	4/9/17 14:14	18.359	0	0	0	read	NoFeedback	UserTiming	A	InitialStudy	40	Think
Ventura	KindOfQuestion_1	1	9	4/9/17 14:15	15.964	0	0	0	read	NoFeedback	UserTiming	A	InitialStudy	41	Think
Ventura	KindOfQuestion_1	1	10	4/9/17 14:15	6.598	0	0	0	read	NoFeedback	UserTiming	A	InitialStudy	42	Think
Ventura	KindOfQuestion_1	1	11	4/9/17 14:16	56.968	0	0	0	read	NoFeedback	UserTiming	A	InitialStudy	43	Think
Ventura	KindOfQuestion_1	1	12	4/9/17 14:16	13.237	0	0	0	read	NoFeedback	UserTiming	A	InitialStudy	44	Think
Ventura	KindOfQuestion_1	1	13	4/9/17 14:16	14.6	0	0	0	read	NoFeedback	UserTiming	A	InitialStudy	45	Think
Ventura	KindOfQuestion_1	1	14	4/9/17 14:16	6.585	0	0	0	read	NoFeedback	UserTiming	A	InitialStudy	46	Think
Ventura	KindOfQuestion_1	1	16	4/9/17 14:19	127.549	0.634920635	0	0	test	NoFeedback	UserTiming	B	InitialTest	47	Think
Ventura	KindOfQuestion_1	1	17	4/9/17 14:20	104.174	0.357142857	0	0	test	NoFeedback	UserTiming	B	InitialTest	48	Think
Ventura	KindOfQuestion_1	1	18	4/9/17 14:29	487.776	0.826446281	0	0	test	NoFeedback	UserTiming	B	InitialTest	49	Think
Ventura	KindOfQuestion_1	1	19	4/9/17 14:30	112.096	0.676818951	0	0	test	NoFeedback	UserTiming	B	InitialTest	50	Think
Ventura	KindOfQuestion_1	1	20	4/9/17 14:33	130.425	0.555555556	0	0	test	NoFeedback	UserTiming	B	InitialTest	51	Think
Ventura	KindOfQuestion_1	1	21	4/9/17 14:34	84.439	0.43956044	0	0	test	NoFeedback	UserTiming	B	InitialTest	52	Think
Ventura	KindOfQuestion_1	1	22	4/9/17 14:35	75.273	1.078167116	0	0	test	NoFeedback	UserTiming	B	InitialTest	53	Think
Ventura	KindOfQuestion_1	1	23	4/9/17 14:37	65.474	0.699300699	0	0	test	NoFeedback	UserTiming	B	InitialTest	54	Think
Ventura	KindOfQuestion_1	1	24	4/9/17 14:38	101.846	1.005025126	0	0	test	NoFeedback	UserTiming	B	InitialTest	55	Think
Ventura	KindOfQuestion_1	2	1	4/11/17 20:30	138.826	1.408450704	0	0	test	NoFeedback	UserTiming	B	FinalTest	57	Think
Ventura	KindOfQuestion_1	2	2	4/11/17 20:31	28.944	4.87804878	0	0	test	NoFeedback	UserTiming	B	FinalTest	58	Think
Ventura	KindOfQuestion_1	2	3	4/11/17 20:31	20.154	5.882352941	0	0	test	NoFeedback	UserTiming	B	FinalTest	59	Think
Ventura	KindOfQuestion_1	2	4	4/11/17 20:32	60.349	3.174603175	0	0	test	NoFeedback	UserTiming	B	FinalTest	60	Think
Chevrolet	KindOfQuestion_1	1	1	4/9/17 16:32	389.995	0	0	0	read	NoFeedback	UserTiming	A	InitialStudy	61	Think
Chevrolet	KindOfQuestion_1	1	2	4/9/17 16:33	31.435	0	0	0	read	NoFeedback	UserTiming	A	InitialStudy	62	Think
Chevrolet	KindOfQuestion_1	1	3	4/9/17 16:35	143.114	0	0	0	read	NoFeedback	UserTiming	A	InitialStudy	63	Think
Chevrolet	KindOfQuestion_1	1	4	4/9/17 16:35	5.019	0	0	0	read	NoFeedback	UserTiming	A	InitialStudy	64	Think
Chevrolet	KindOfQuestion_1	1	5	4/9/17 16:36	63.942	0	0	0	read	NoFeedback	UserTiming	A	InitialStudy	65	Think
Chevrolet	KindOfQuestion_1	1	6	4/9/17 16:37	14.684	0	0	0	read	NoFeedback	UserTiming	A	InitialStudy	66	Think
Chevrolet	KindOfQuestion_1	1	7	4/9/17 16:37	7.035	0	0	0	read	NoFeedback	UserTiming	A	InitialStudy	67	Think
Chevrolet	KindOfQuestion_1	1	8	4/9/17 16:37	11.48	0	0	0	read	NoFeedback	UserTiming	A	InitialStudy	68	Think
Chevrolet	KindOfQuestion_1	1	9	4/9/17 16:41	267.234	0	0	0	read	NoFeedback	UserTiming	A	InitialStudy	69	Think
Chevrolet	KindOfQuestion_1	1	10	4/9/17 16:41	4.363	0	0	0	read	NoFeedback	UserTiming	A	InitialStudy	70	Think
Chevrolet	KindOfQuestion_1	1	11	4/9/17 16:43	102.099	0	0	0	read	NoFeedback	UserTiming	A	InitialStudy	71	Think
Chevrolet	KindOfQuestion_1	1	12	4/9/17 16:43	7.376	0	0	0	read	NoFeedback	UserTiming	A	InitialStudy	72	Think
Chevrolet	KindOfQuestion_1	1	13	4/9/17 16:44	17.431	0	0	0	read	NoFeedback	UserTiming	A	InitialStudy	73	Think
Chevrolet	KindOfQuestion_1	1	14	4/9/17 16:44	5.709	0	0	0	read	NoFeedback	UserTiming	A	InitialStudy	74	Think
Chevrolet	KindOfQuestion_1	1	16	4/9/17 16:44	37.523	1.03626943	0	0	test	NoFeedback	UserTiming	B	InitialTest	75	Think
Chevrolet	KindOfQuestion_1	1	17	4/9/17 16:45	45.16	1.307189542	0	0	test	NoFeedback	UserTiming	B	InitialTest	76	Think
Chevrolet	KindOfQuestion_1	1	18	4/9/17 16:47	89.004	0.735294118	0	0	test	NoFeedback	UserTiming	B	InitialTest	77	Think
Chevrolet	KindOfQuestion_1	1	19	4/9/17 16:47	17.255	3.846153846	0	0	test	NoFeedback	UserTiming	B	InitialTest	78	Think
Chevrolet	KindOfQuestion_1	1	20	4/9/17 16:47	28.721	4.301075269	0	0	test	NoFeedback	UserTiming	B	InitialTest	79	Think
Chevrolet	KindOfQuestion_1	1	21	4/9/17 16:48	21.748	3.225806452	0	0	test	NoFeedback	UserTiming	B	InitialTest	80	Think
Chevrolet	KindOfQuestion_1	1	22	4/9/17 16:48	44.859	3.125	0	0	test	NoFeedback	UserTiming	B	InitialTest	81	Think
Chevrolet	KindOfQuestion_1	1	23	4/9/17 16:49	15.818	2.272727273	0	0	test	NoFeedback	UserTiming	B	InitialTest	82	Think
Chevrolet	KindOfQuestion_1	1	24	Last Row	32.947	1.19047619	0	0	test	NoFeedback	UserTiming	B	InitialTest	83	Think
